V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,facility
Alabama,1.00E+19,-9,KILBY CORRECTIONAL FACILITY,12201 WARES FERRY RD,-9,MONTGOMERY,AL,36117,-9,Males only,Maximum/close/high,-9,None,State authority,-9,1436,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,KILBY CORRECTIONAL FACILITY
Alabama,1.00E+19,-9,HOLMAN CORRECTIONAL FACILITY,866 ROSS ROAD,-9,ATMORE,AL,36503,-9,Males only,Maximum/close/high,-9,None,State authority,-9,997,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,HOLMAN CORRECTIONAL FACILITY
Alabama,1.00E+19,-9,DRAPER CORRECTIONAL FACILITY,2828 ALABAMA HIGHWAY 143,-9,ELMORE,AL,36025,-9,Males only,Medium,-9,None,State authority,-9,1257,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,DRAPER CORRECTIONAL FACILITY
Alabama,1.00E+19,1.00E+19,TUTWILER PRISON FOR WOMEN,8966 US HIGHWAY 231 NORTH,-9,WETUMPKA,AL,36092,-9,Females only,Maximum/close/high,-9,None,State authority,-9,Not applicable,Actual data,737,Actual data,Yes,Tutwiler Annex,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,TUTWILER PRISON FOR WOMEN
Alabama,1.00E+19,1.00E+19,Tutwiler Annex,8950 U S Highway 231 North,-9,Wetumpka,AL,36092,-9,Females only,Maximum/close/high,-9,None,State authority,-9,Not applicable,Actual data,249,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,TUTWILER ANNEX
Alabama,1.00E+19,1.00E+19,FOUNTAIN CORRECTIONAL FACILITY,9677 HIGHWAY 21 NORTH,-9,ATMORE,AL,36503,-9,Males only,Medium,-9,None,State authority,-9,1256,Actual data,Not applicable,Actual data,Yes,J. O. Davis Correctional Facility,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,FOUNTAIN CORRECTIONAL FACILITY
Alabama,1.00E+19,-9,FARQUHAR CATTLE RANCH,1132 COUNTY ROAD 73,-9,GREENSBORO,AL,36744,-9,Males only,Minimum/low,-9,None,State authority,-9,62,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,FARQUHAR CATTLE RANCH
Alabama,1.00E+19,-9,RED EAGLE WORK CENTER,1290 RED EAGLE ROAD,-9,MONTGOMERY,AL,36110,-9,Males only,Minimum/low,-9,50% or more of the inmates,State authority,-9,338,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,RED EAGLE WORK CENTER
Alabama,1.00E+19,-9,STATON CORRECTIONAL FACILITY,2690 MARION SPILLWAY ROAD,-9,ELMORE,AL,36025,-9,Males only,Medium,-9,None,State authority,-9,1398,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,STATON CORRECTIONAL FACILITY
Alabama,1.00E+19,-9,HAMILTON COMMUNITY Based Facility,1826 Beyar Avenue East,-9,Hamilton,AL,35570,-9,Males only,Minimum/low,-9,50% or more of the inmates,State authority,-9,254,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,HAMILTON COMMUNITY BASED FACILITY
Alabama,1.00E+19,-9,BIRMINGHAM Community Based Facility,1216 North 25th Street,-9,Birmingham,AL,35234,-9,Females only,Minimum/low,-9,50% or more of the inmates,State authority,-9,Not applicable,Actual data,289,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,BIRMINGHAM COMMUNITY BASED FACILITY
Alabama,1.00E+19,-9,MONTGOMERY WOMEN'S FACILITY,12085 WARES FERRY ROAD,-9,MONTGOMERY,AL,36117,-9,Females only,Medium,-9,Less than 50% of the inmates,State authority,-9,Not applicable,Actual data,300,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,MONTGOMERY WOMEN'S FACILITY
Alabama,1.00E+19,-9,ALEX CITY Community Based Facility,Highway 22 W,P O Drawer 160,Alex City,AL,35011,-9,Males only,Minimum/low,-9,50% or more of the inmates,State authority,-9,316,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,ALEX CITY COMMUNITY BASED FACILITY
Alabama,1.00E+19,-9,CAMDEN COMMUNITY Based Facility,1780 AL Hwy 221,-9,Camden,AL,36726,-9,Males only,Minimum/low,-9,50% or more of the inmates,State authority,-9,156,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,CAMDEN COMMUNITY BASED FACILITY
Alabama,1.00E+19,-9,ELBA COMMUNITY Based Facility,1620 BOSWELL STREET,-9,ELBA,AL,36323,-9,Males only,Minimum/low,-9,50% or more of the inmates,State authority,-9,243,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,ELBA COMMUNITY BASED FACILITY
Alabama,1.00E+19,-9,ATMORE COMMUNITY WORK CENTER,9947 Highway 21 North,-9,Atmore,AL,36503,-9,Males only,Minimum/low,-9,None,State authority,-9,249,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,ATMORE COMMUNITY WORK CENTER
Alabama,1.00E+19,-9,MOBILE COMMUNITY WORK CENTER,2423 N BELTLINE HWY,-9,Eight Mile,AL,36610,-9,Males only,Minimum/low,-9,50% or more of the inmates,State authority,-9,253,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,MOBILE COMMUNITY WORK CENTER
Alabama,1.00E+19,-9,DONALDSON CORRECTIONAL FACILITY,100 WARRIOR LANE,-9,BESSEMER,AL,35023,-9,Males only,Maximum/close/high,-9,None,State authority,-9,1539,Actual data,Not applicable,Actual data,No,-9,No,-9,Blank,Blank,No,Blank,Blank,-9,-9,DONALDSON CORRECTIONAL FACILITY
