system,system_pop,tot_est,suicide_est,homicide_est,hom_by_leo_est,natural_est,execution_est,pending_est,covid_19_est,uninten_non_drug_inj_est,drug_alc_est,unknown_est,first_yr_pr,first_yr_exec_status
WA,14000,165,2,1,0,25,0,17,10,10,11,25,2020,No
OR,13000,153,2,1,0,23,0,15,9,9,10,23,2020,No
CA,101000,1188,14,7,0.3,178,0,119,71,69,81,178,2016,Yes
AK,4600,54,1,0,0,8,1,5,3,3,4,8,2016,Yes
HI,4100,48,1,0,0,7,0,5,3,3,3,7,2015,No
ID,8900,105,1,1,0,16,1,11,6,6,7,16,2010,Yes
NV,10000,118,1,1,0,18,1,12,7,7,8,18,2000,Yes
AZ,34000,400,5,2,0.1,60,1,40,24,23,27,60,2009,Yes
UT,5900,69,1,0,0,10,1,7,4,4,5,10,2015,Yes
MT,4300,51,1,0,0,8,1,5,3,3,3,8,2020,Yes
WY,2100,25,0,0,0,4,1,3,1,1,2,4,2021,Yes
CO,16000,188,2,1,0.1,28,0,19,11,11,13,28,2020,No
NM,5200,61,1,0,0,9,0,6,4,4,4,9,2015,No
TX,134000,1576,19,10,0.4,236,1,158,94,91,107,236,2000,Yes
OK,22000,259,3,2,0.1,39,1,26,15,15,18,39,2018,Yes
KS,8500,100,1,1,0,15,1,10,6,6,7,15,2019,Yes
NE,5600,66,1,0,0,10,1,7,4,4,4,10,2017,Yes
SD,3400,40,0,0,0,6,1,4,2,2,3,6,1999,Yes
ND,1700,20,0,0,0,3,0,2,1,1,1,3,,No
MN,8000,94,1,1,0,14,0,9,6,5,6,14,2020,No
IA,8600,101,1,1,0,15,0,10,6,6,7,15,2017,No
MO,23000,271,3,2,0.1,41,1,27,16,16,18,41,2019,Yes
AR,17000,200,2,1,0.1,30,1,20,12,12,14,30,2020,Yes
LA,26000,306,4,2,0.1,46,1,31,18,18,21,46,2019,Yes
MS,17000,200,2,1,0.1,30,1,20,12,12,14,30,2021,Yes
AL,25000,294,4,2,0.1,44,1,29,18,17,20,44,2018,Yes
GA,47000,553,7,3,0.2,83,1,55,33,32,37,83,2015,Yes
FL,80000,941,11,6,0.3,141,1,94,56,54,64,141,2015,Yes
TN,22000,259,3,2,0.1,39,1,26,15,15,18,39,2015,Yes
KY,19000,224,3,1,0.1,34,1,22,13,13,15,34,2020,Yes
IL,28000,329,4,2,0.1,49,0,33,20,19,22,49,,No
WI,20000,235,3,1,0.1,35,0,24,14,14,16,35,,No
MI,32000,376,4,2,0.1,56,0,38,23,22,26,56,,No
OH,45000,529,6,3,0.1,79,1,53,32,31,36,79,,Yes
WV,5800,68,1,0,0,10,0,7,4,4,5,10,,No
VA,30000,353,4,2,0.1,53,1,35,21,20,24,53,2018,Yes
NC,29000,341,4,2,0.1,51,1,34,20,20,23,51,2015,Yes
SC,16000,188,2,1,0.1,28,1,19,11,11,13,28,2019,Yes
PA,37000,435,5,3,0.1,65,0,44,26,25,29,65,2016,No
MD,15000,176,2,1,0,26,0,18,11,10,12,26,,No
DE,4800,56,1,0,0,8,0,6,3,3,4,8,2017,No
NJ,12500,147,2,1,0,22,0,15,9,9,10,22,,No
NY,30000,353,4,2,0.1,53,0,35,21,20,24,53,,No
CT,9900,116,1,1,0,17,0,12,7,7,8,17,2015,No
MA,6100,72,1,0,0,11,0,7,4,4,5,11,,No
RI,2200,26,0,0,0,4,0,3,2,1,2,4,,No
NH,2100,25,0,0,0,4,0,3,1,1,2,4,2020,No
VT,1300,15,0,0,0,2,0,2,1,1,1,2,2019,No
ME,1600,19,0,0,0,3,0,2,1,1,1,3,,No
ICE,34000,400,5,2,0.1,60,0,40,24,23,27,60,2018,No
PR,5798,68,1,0,0,10,0,7,4,4,5,10,,No
DC,3400,40,0,0,0,6,0,4,2,2,3,6,2006,No
BOP,171890,2022,24,12,0.6,303,1,202,121,117,137,303,2019,Yes
