"","c_system_abbr","pass_category","pass_status","pass_definition"
"1","AK","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"2","AK","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"3","AK","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"4","AK","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"5","AK","system_data","No","System consistently publishes aggregate data on deaths in custody"
"6","AL","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"7","AL","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"8","AL","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"9","AL","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"10","AL","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"11","AR","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"12","AR","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"13","AR","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"14","AR","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"15","AR","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"16","AZ","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"17","AZ","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"18","AZ","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"19","AZ","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"20","AZ","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"21","BOP","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"22","BOP","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"23","BOP","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"24","BOP","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"25","BOP","system_data","No","System consistently publishes aggregate data on deaths in custody"
"26","CA","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"27","CA","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"28","CA","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"29","CA","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"30","CA","system_data","No","System consistently publishes aggregate data on deaths in custody"
"31","CO","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"32","CO","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"33","CO","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"34","CO","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"35","CO","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"36","CT","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"37","CT","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"38","CT","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"39","CT","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"40","CT","system_data","No","System consistently publishes aggregate data on deaths in custody"
"41","DC","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"42","DC","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"43","DC","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"44","DC","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"45","DC","system_data","No","System consistently publishes aggregate data on deaths in custody"
"46","DE","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"47","DE","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"48","DE","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"49","DE","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"50","DE","system_data","No","System consistently publishes aggregate data on deaths in custody"
"51","FL","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"52","FL","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"53","FL","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"54","FL","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"55","FL","system_data","No","System consistently publishes aggregate data on deaths in custody"
"56","GA","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"57","GA","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"58","GA","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"59","GA","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"60","GA","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"61","HI","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"62","HI","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"63","HI","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"64","HI","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"65","HI","system_data","No","System consistently publishes aggregate data on deaths in custody"
"66","IA","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"67","IA","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"68","IA","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"69","IA","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"70","IA","system_data","No","System consistently publishes aggregate data on deaths in custody"
"71","ICE","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"72","ICE","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"73","ICE","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"74","ICE","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"75","ICE","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"76","ID","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"77","ID","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"78","ID","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"79","ID","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"80","ID","system_data","No","System consistently publishes aggregate data on deaths in custody"
"81","KS","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"82","KS","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"83","KS","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"84","KS","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"85","KS","system_data","No","System consistently publishes aggregate data on deaths in custody"
"86","KY","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"87","KY","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"88","KY","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"89","KY","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"90","KY","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"91","LA","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"92","LA","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"93","LA","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"94","LA","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"95","LA","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"96","MN","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"97","MN","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"98","MN","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"99","MN","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"100","MN","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"101","MO","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"102","MO","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"103","MO","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"104","MO","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"105","MO","system_data","No","System consistently publishes aggregate data on deaths in custody"
"106","MS","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"107","MS","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"108","MS","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"109","MS","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"110","MS","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"111","MT","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"112","MT","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"113","MT","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"114","MT","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"115","MT","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"116","NC","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"117","NC","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"118","NC","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"119","NC","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"120","NC","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"121","NE","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"122","NE","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"123","NE","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"124","NE","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"125","NE","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"126","NH","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"127","NH","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
