system,total_pr,variable,percentages,field_grouping,n,min_variable,min_percentage
AK,34,c_ind_full_name,100,Demographic,34,c_ind_ethnicity,0
AK,34,c_ind_dob_year,100,Demographic,34,c_ind_ethnicity,0
AK,34,c_ind_gender,97.06,Demographic,33,c_ind_ethnicity,0
AK,34,c_ind_race,100,Demographic,34,c_ind_ethnicity,0
AK,34,c_ind_ethnicity,0,Demographic,0,c_ind_ethnicity,0
AK,34,c_ind_dod_ymd,100,Context,34,c_ind_ethnicity,0
AK,34,ind_tod,97.06,Context,33,c_ind_ethnicity,0
AK,34,ind_deathloc,64.71,Context,22,c_ind_ethnicity,0
AK,34,c_ind_fachoused,52.94,Context,18,c_ind_ethnicity,0
AK,34,c_ind_cod_avail,73.53,Cause of Death,25,c_ind_ethnicity,0
AL,9,c_ind_full_name,100,Demographic,9,c_ind_ethnicity,0
AL,9,c_ind_dob_year,88.89,Demographic,8,c_ind_ethnicity,0
AL,9,c_ind_gender,66.67,Demographic,6,c_ind_ethnicity,0
AL,9,c_ind_race,100,Demographic,9,c_ind_ethnicity,0
AL,9,c_ind_ethnicity,0,Demographic,0,c_ind_ethnicity,0
AL,9,c_ind_dod_ymd,100,Context,9,c_ind_ethnicity,0
AL,9,ind_tod,77.78,Context,7,c_ind_ethnicity,0
AL,9,ind_deathloc,100,Context,9,c_ind_ethnicity,0
AL,9,c_ind_fachoused,88.89,Context,8,c_ind_ethnicity,0
AL,9,c_ind_cod_avail,66.67,Cause of Death,6,c_ind_ethnicity,0
AR,35,c_ind_full_name,77.14,Demographic,27,ind_tod,71.43
AR,35,c_ind_dob_year,74.29,Demographic,26,ind_tod,71.43
AR,35,c_ind_gender,100,Demographic,35,ind_tod,71.43
AR,35,c_ind_race,100,Demographic,35,ind_tod,71.43
AR,35,c_ind_ethnicity,100,Demographic,35,ind_tod,71.43
AR,35,c_ind_dod_ymd,100,Context,35,ind_tod,71.43
AR,35,ind_tod,71.43,Context,25,ind_tod,71.43
AR,35,ind_deathloc,100,Context,35,ind_tod,71.43
AR,35,c_ind_fachoused,94.29,Context,33,ind_tod,71.43
AR,35,c_ind_cod_avail,94.29,Cause of Death,33,ind_tod,71.43
AZ,1256,c_ind_full_name,99.92,Demographic,1255,c_ind_ethnicity,0
AZ,1256,c_ind_dob_year,99.04,Demographic,1244,c_ind_ethnicity,0
AZ,1256,c_ind_gender,11.31,Demographic,142,c_ind_ethnicity,0
AZ,1256,c_ind_race,11.46,Demographic,144,c_ind_ethnicity,0
