c_system_abbr,facility,n,best_guesses,c_facility_name
NA,RMC - MAIN UNIT,862,NA,NA
AZ,ASPC-TUCSON,359,ASPC-TUCSON,ASPC-TUCSON
AZ,ASPC-FLORENCE,281,ASPC-FLORENCE,ASPC-FLORENCE
NA,SFRC,231,NA,NA
MI,SPECIAL ALTERNATIVE INCARCERATION,191,SPECIAL ALTERNATIVE INCARCERATION FACILITY,SPECIAL ALTERNATIVE INCARCERATION FACILITY
MI,THUMB,173,CTC WEST,THUMB CORRECTIONAL FACILITY
MI,CARSON CITY,172,MILAN FCI,CARSON CITY CORRECTIONAL FACILITY
MI,EARNEST C. BROOKS,172,"HEARTLINE, INC, CTC WEST",EARNEST C. BROOKS CORRECTIONAL FACILITY
MI,OAKS,172,CTC WEST,OAKS CORRECTIONAL FACILITY
AL,BIRMINGHAM (WC),171,BIRMINGHAM CCC,BIRMINGHAM CCC
MI,KINROSS,171,"MILAN FCI, CTC WEST",KINROSS CORRECTIONAL FACILITY
MI,LAKELAND,171,"MILAN FCI, CTC WEST",LAKELAND CORRECTIONAL FACILITY
MI,MACOMB,171,"MILAN FCI, CTC WEST",MACOMB CORRECTIONAL FACILITY
MI,MICHIGAN REFORMATORY,171,MICHIGAN REFORMATORY,MICHIGAN REFORMATORY
MI,MUSKEGON,171,"MILAN FCI, CTC WEST",NA
MI,NEWBERRY,171,CTC WEST,NEWBERRY CORRECTIONAL FACILITY
MI,PARNALL,171,"MILAN FCI, CTC WEST",PARNALL CORRECTIONAL FACILITY
MI,SAGINAW,171,"MILAN FCI, CTC WEST",SAGINAW CORRECTIONAL FACILITY
MI,WEST SHORELINE CORRECTIONAL FACILITY,171,WEST SHORELINE CORRECTIONAL FACILITY,WEST SHORELINE CORRECTIONAL FACILITY
MI,WOMEN'S HURON VALLEY,171,"MICHIGAN REFORMATORY, MILAN FCI",HURON VALLEY CORRECTIONAL FACILITY - WOMEN
MI,ALGER,170,CTC WEST,ALGER CORRECTIONAL FACILITY
MI,BARAGA,170,"MILAN FCI, CTC WEST",BARAGA CORRECTIONAL FACILITY
MI,BELLAMY CREEK,170,MILAN FCI,BELLAMY CREEK CORRECTIONAL FACILITY
MI,CHARLES E. EGELER RECEPTION AND GUIDANCE,170,CHARLES EGELER RECEPTION & GUIDANCE CENTER,CHARLES EGELER RECEPTION & GUIDANCE CENTER
MI,CHIPPEWA,170,CTC WEST,CHIPPEWA CORRECTIONAL FACILITY
MI,COOPER STREET,170,CTC WEST,COOPER STREET CORRECTIONAL FACILITY
MI,G. ROBERT COTTON,170,CTC WEST,G. ROBERT COTTON CORRECTIONAL FACILITY
MI,GUS HARRISON,170,CTC WEST,GUS HARRISON CORRECTIONAL FACILITY
MI,IONIA,170,MILAN FCI,IONIA CORRECTIONAL FACILITY
MI,MARQUETTE BRANCH,170,MARQUETTE BRANCH PRISON,MARQUETTE BRANCH PRISON
MI,ST. LOUIS,170,CTC WEST,ST. LOUIS CORRECTIONAL FACILITY
MI,OJIBWAY CORRECTIONAL FACILITY,169,OJIBWAY CORRECTIONAL FACILITY,OJIBWAY CORRECTIONAL FACILITY
MI,RICHARD A. HANDLON,169,"MICHIGAN REFORMATORY, MILAN FCI",RICHARD A. HANDLON CORRECTIONAL FACILITY
AL,CAMDEN (WR),162,TALLADEGA FCI,CAMDEN COMMUNITY Based Facility
AZ,ASPC-EYMAN,160,ASPC-EYMAN,ASPC-EYMAN
AL,FRANK LEE (WC),158,TALLADEGA FCI,FRANK LEE Work Release
AL,MOBILE (WC),158,"TUTWILER ANNEX, MONTGOMERY FPC",MOBILE COMMUNITY WORK CENTER
AL,HAMILTON (WC),156,"TALLADEGA FCI, BIRMINGHAM CCC",HAMILTON AGED & INFIRMED
AL,LIMESTONE,156,TUTWILER ANNEX,LIMESTONE CORRECTIONAL FACILITY
AZ,ASPC-LEWIS,155,ASPC - LEWIS,NA
AL,LOXLEY (WC),154,"MONTGOMERY FPC, TALLADEGA FCI",LOXLEY COMMUNITY WORK CENTER
AL,BIBB,153,BIRMINGHAM CCC,BIBB CORRECTIONAL FACILITY
AL,BIRMINGHAM (WR),153,BIRMINGHAM CCC,BIRMINGHAM Community Based Facility
AL,HOLMAN,153,"TUTWILER ANNEX, TALLADEGA FCI",HOLMAN CORRECTIONAL FACILITY
AL,ALEX CITY (WC),152,TALLADEGA FCI,ALEX CITY Community Based Facility
