System,State,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022
AL,Alabama,549,584,612,635,556,591,595,615,634,650,641,650,650,647,634,612,571,486,418,419,390,383,390
AK,Alaska,341,300,396,401,398,414,462,447,430,357,386,400,405,364,281,306,282,258,264,243,245,213,205
AZ,Arizona,515,492,413,525,534,521,509,554,567,580,596,589,583,584,592,596,587,566,560,556,513,454,446
AR,Arkansas,458,447,479,476,495,591,485,502,511,522,551,544,494,579,599,592,583,599,590,585,532,559,574
CA,California,474,453,452,455,456,466,475,471,467,458,438,394,351,352,348,330,327,329,323,310,255,259,250
CO,Colorado,403,391,415,430,438,457,469,465,467,450,449,427,392,383,382,365,357,350,354,342,279,271,288
CT,Connecticut,398,387,405,389,377,373,392,410,407,382,372,350,333,338,326,313,289,269,252,246,176,155,170
DE,Delaware,513,504,453,501,488,467,488,482,463,447,438,440,448,442,440,442,427,422,411,380,313,276,272
FL,Florida,462,437,450,463,486,499,509,535,557,559,550,538,524,522,512,496,480,466,456,444,374,365,377
GA,Georgia,550,542,552,539,574,533,558,563,540,526,560,547,542,532,517,504,511,507,502,507,433,427,435
HI,Hawaii,302,298,308,325,329,340,338,338,332,317,288,283,273,256,257,264,254,241,230,215,189,180,174
ID,Idaho,430,451,461,427,454,472,480,483,474,476,471,486,499,507,489,435,434,446,444,474,392,451,460
IL,Illinois,371,355,336,342,346,351,350,350,351,349,377,376,383,377,375,361,340,325,314,303,234,229,236
IN,Indiana,335,341,348,370,383,388,411,426,442,447,431,442,440,454,443,413,384,389,400,400,361,362,349
IA,Iowa,276,272,284,290,288,294,296,291,291,292,307,295,282,279,282,282,287,286,298,293,260,267,264
KS,Kansas,312,218,327,334,327,330,318,312,303,305,316,324,325,328,329,329,331,334,342,342,296,286,292
KY,Kentucky,373,371,380,392,412,459,462,512,492,478,457,478,489,461,474,490,518,528,525,515,412,412,437
LA,Louisiana,801,800,794,801,816,797,846,865,853,881,865,865,870,847,816,777,761,722,695,678,581,566,596
ME,Maine,129,127,141,149,148,144,151,159,151,150,146,147,145,148,153,132,137,134,135,146,118,107,107
MD,Maryland,429,422,425,420,406,394,396,404,403,382,383,380,360,352,346,340,328,319,310,305,253,245,252
MA,Massachusetts,252,243,234,233,232,239,243,246,218,213,202,206,199,192,188,171,156,151,146,133,101,96,94
MI,Michigan,480,488,501,489,438,489,511,499,488,457,447,434,441,441,437,430,413,397,388,381,334,321,323
MN,Minnesota,128,132,141,155,171,180,176,181,179,189,184,183,184,189,194,196,191,192,180,177,144,140,151
