"","c_system_abbr","count","system_pop","pr_quant_score","total_dcra_points","final_points","press_release_rank","data_completeness_rank","final_point_rank"
"1","AK",28,4600,0.00608695652173913,785.3,4.78008695652174,10,12,10
"2","AL",8,25000,0.00032,788.9,0.252448,32,10,32
"3","AR",34,17000,0.002,911.44,1.82288,19,2,15
"4","AZ",651,34000,0.0191470588235294,497.68,9.52910823529412,3,38,5
"5","BOP",334,171890,0.00194310314736168,802.69,1.55970946535575,20,8,19
"6","CA",151,101000,0.0014950495049505,847.72,1.26738336633663,24,6,21
"7","CO",7,16000,0.0004375,728.58,0.31875375,30,17,30
"8","DC",6,3400,0.00176470588235294,715.39,1.26245294117647,22,22,22
"9","DE",86,4800,0.0179166666666667,718.34,12.8702583333333,4,20,2
"10","FL",297,80000,0.0037125,527.21,1.957267125,13,35,14
"11","GA",60,47000,0.00127659574468085,846.37,1.08047234042553,25,7,24
"12","HI",20,4100,0.0048780487804878,755.57,3.68570731707317,11,15,11
"13","IA",122,8600,0.0141860465116279,554.13,7.86091395348837,7,34,6
"14","ICE",42,34000,0.00123529411764706,514,0.634941176470588,26,36,28
"15","ID",17,8900,0.00191011235955056,893.74,1.70714382022472,21,3,17
"16","KS",20,8500,0.00235294117647059,690,1.62352941176471,16,25,18
"17","KY",1,19000,5.26315789473684e-05,700,0.0368421052631579,38,24,38
"18","LA",4,26000,0.000153846153846154,950,0.146153846153846,36,1,35
"19","MN",9,8000,0.001125,766.66,0.8624925,28,14,26
"20","MO",3,23000,0.000130434782608696,700,0.0913043478260869,37,24,37
"21","MS",4,17000,0.000235294117647059,850,0.2,34,4,34
"22","MT",56,4300,0.0130232558139535,555.94,7.2401488372093,9,33,9
"23","NC",100,29000,0.00344827586206897,776.82,2.67868965517241,14,13,13
"24","NE",109,5600,0.0194642857142857,503.67,9.80357678571429,2,37,4
"25","NH",8,2100,0.00380952380952381,740,2.81904761904762,12,16,12
"26","NM",1,5200,0.000192307692307692,600,0.115384615384615,35,29,36
"27","NV",263,10000,0.0263,602.04,15.833652,1,28,1
"28","OK",7,22000,0.000318181818181818,722.23,0.229800454545455,33,19,33
"29","OR",30,13000,0.00230769230769231,590.32,1.36227692307692,17,31,20
"30","PA",90,37000,0.00243243243243243,447.65,1.08887837837838,15,40,23
"31","SC",36,16000,0.00225,788.89,1.7750025,18,11,16
"32","SD",56,3400,0.0164705882352941,467.72,7.70362352941176,6,39,8
"33","TN",10,22000,0.000454545454545455,790,0.359090909090909,29,9,29
"34","TX",1,134000,7.46268656716418e-06,715.56,0.00534,39,21,39
"35","UT",9,5900,0.00152542372881356,627.78,0.957630508474576,23,27,25
"36","VA",12,30000,4e-04,661.56,0.264624,31,26,31
"37","VT",22,1300,0.0169230769230769,722.73,12.2308153846154,5,18,3
"38","WA",16,14000,0.00114285714285714,593.75,0.678571428571429,27,30,27
"39","WY",29,2100,0.0138095238095238,562.06,7.76178095238095,8,32,7
"40","ND",NA,1700,NA,0,NA,54,54,54
"41","IL",NA,28000,NA,0,NA,54,54,54
"42","WI",NA,20000,NA,0,NA,54,54,54
"43","MI",NA,32000,NA,0,NA,54,54,54
"44","OH",NA,45000,NA,0,NA,54,54,54
"45","WV",NA,5800,NA,0,NA,54,54,54
"46","MD",NA,15000,NA,0,NA,54,54,54
"47","NJ",NA,12500,NA,0,NA,54,54,54
"48","NY",NA,30000,NA,0,NA,54,54,54
"49","CT",NA,9900,NA,850,NA,54,4,54
"50","MA",NA,6100,NA,0,NA,54,54,54
"51","RI",NA,2200,NA,0,NA,54,54,54
"52","ME",NA,1600,NA,0,NA,54,54,54
"53","PR",NA,5798,NA,0,NA,54,54,54
"54","IN",NA,NA,NA,0,NA,54,54,54
