"","c_system_abbr","dod_year"
"1","AK","2016"
"2","AL","2018"
"3","AR","2020"
"4","AZ","2009"
"5","BOP","2019"
"6","CA","2016"
"7","CO","2020"
"8","CT","2015"
"9","DC","2006"
"10","DE","2017"
"11","FL","1950"
"12","GA","2015"
"13","HI","2015"
"14","IA","2017"
"15","ICE","2018"
"16","ID","2010"
"17","KS","2019"
"18","KY","2020"
"19","LA","2019"
"20","MN","2020"
"21","MO","2019"
"22","MS","2021"
"23","MT","2020"
"24","NC","2015"
"25","NE","2017"
"26","NH","2020"
"27","NM","2015"
"28","NV","2000"
"29","OK","2018"
"30","OR","2020"
"31","PA","2016"
"32","SC","2019"
"33","SD","2000"
"34","TN","2015"
"35","TX","2000"
"36","UT","2015"
"37","VA","2018"
"38","VT","2019"
"39","WA","2020"
"40","WY","2021"
