"","dod_year","c_system_abbr","n"
"1","1950","FL",1
"2","2000","NV",1
"3","2000","SD",2
"4","2000","TX",39
"5","2001","SD",3
"6","2001","TX",17
"7","2002","SD",11
"8","2002","TX",33
"9","2003","SD",9
"10","2003","TX",24
"11","2004","SD",5
"12","2004","TX",23
"13","2005","SD",4
"14","2005","TX",19
"15","2006","DC",1
"16","2006","SD",5
"17","2006","TX",24
"18","2007","NV",44
"19","2007","SD",8
"20","2008","NV",44
"21","2008","SD",6
"22","2009","AZ",1
"23","2009","NV",44
"24","2009","SD",4
"25","2010","ID",1
"26","2010","NV",41
"27","2010","SD",7
"28","2011","ID",2
"29","2011","NV",38
"30","2011","SD",12
"31","2012","ID",3
"32","2012","NV",41
"33","2012","SD",8
"34","2013","DC",3
"35","2013","ID",1
"36","2013","NV",36
"37","2013","SD",9
"38","2014","AZ",83
"39","2014","ID",6
"40","2014","NV",44
"41","2014","SD",7
"42","2015","AZ",109
"43","2015","CT",6
"44","2015","DC",1
"45","2015","GA",2
"46","2015","HI",1
"47","2015","ID",3
"48","2015","NC",2
"49","2015","NM",1
"50","2015","NV",48
"51","2015","SD",7
"52","2015","TN",2
"53","2015","UT",3
"54","2016","AK",1
"55","2016","AZ",116
"56","2016","CA",29
"57","2016","CT",2
"58","2016","FL",182
"59","2016","GA",8
"60","2016","HI",2
"61","2016","ID",5
"62","2016","NC",13
"63","2016","NV",42
"64","2016","PA",10
"65","2016","SD",4
"66","2016","TN",3
"67","2016","UT",3
"68","2017","AZ",133
"69","2017","CA",18
"70","2017","DE",8
"71","2017","FL",427
"72","2017","GA",14
"73","2017","HI",1
"74","2017","IA",10
"75","2017","ID",7
"76","2017","NC",10
"77","2017","NE",16
"78","2017","NV",47
"79","2017","PA",12
"80","2017","SD",12
"81","2017","TN",1
"82","2017","UT",1
"83","2018","AL",1
"84","2018","AZ",132
"85","2018","CA",31
"86","2018","DE",16
"87","2018","FL",438
"88","2018","GA",26
"89","2018","IA",19
"90","2018","ICE",8
"91","2018","ID",3
"92","2018","NC",13
"93","2018","NE",11
"94","2018","NV",45
"95","2018","OK",2
"96","2018","PA",14
"97","2018","SD",6
"98","2018","TN",4
"99","2018","UT",1
"100","2018","VA",1
"101","2019","AL",6
"102","2019","AZ",114
"103","2019","BOP",1
"104","2019","CA",26
"105","2019","DE",13
"106","2019","FL",394
"107","2019","GA",24
"108","2019","IA",14
"109","2019","ICE",9
"110","2019","ID",3
"111","2019","KS",4
"112","2019","LA",2
"113","2019","MO",1
"114","2019","NC",7
"115","2019","NE",15
"116","2019","NV",40
"117","2019","OK",3
"118","2019","PA",22
"119","2019","SC",4
"120","2019","SD",12
"121","2019","TN",4
"122","2019","UT",2
"123","2019","VA",2
"124","2019","VT",1
"125","2020","AR",9
"126","2020","AZ",158
"127","2020","BOP",182
"128","2020","CA",44
"129","2020","CO",4
"130","2020","DE",19
"131","2020","FL",582
"132","2020","GA",35
"133","2020","IA",37
"134","2020","ICE",17
"135","2020","ID",9
"136","2020","KS",12
"137","2020","KY",1
"138","2020","LA",2
"139","2020","MN",7
"140","2020","MO",1
"141","2020","MT",6
"142","2020","NC",48
"143","2020","NE",28
"144","2020","NH",1
"145","2020","NM",1
"146","2020","NV",82
"147","2020","OK",3
"148","2020","OR",9
"149","2020","PA",26
"150","2020","SC",3
"151","2020","SD",12
"152","2020","TN",3
"153","2020","UT",2
"154","2020","VA",5
"155","2020","VT",2
"156","2020","WA",8
"157","2021","AK",5
"158","2021","AR",11
"159","2021","AZ",134
"160","2021","BOP",115
"161","2021","CA",21
"162","2021","CO",2
"163","2021","DE",18
"164","2021","FL",433
"165","2021","HI",9
"166","2021","IA",21
"167","2021","ICE",7
"168","2021","ID",4
"169","2021","KS",4
"170","2021","MN",2
"171","2021","MO",1
"172","2021","MS",1
"173","2021","MT",18
"174","2021","NC",27
"175","2021","NE",22
"176","2021","NH",1
"177","2021","NV",65
"178","2021","OK",1
"179","2021","OR",21
"180","2021","PA",12
"181","2021","SC",11
"182","2021","SD",11
"183","2021","TN",2
"184","2021","UT",2
"185","2021","VA",2
"186","2021","VT",1
"187","2021","WA",6
"188","2021","WY",9
"189","2022","AK",13
"190","2022","AL",1
"191","2022","AR",11
"192","2022","AZ",140
"193","2022","BOP",34
"194","2022","CA",30
"195","2022","CO",1
"196","2022","DC",1
"197","2022","DE",19
"198","2022","FL",198
"199","2022","GA",1
"200","2022","IA",27
"201","2022","ICE",2
"202","2022","ID",1
"203","2022","MS",1
"204","2022","MT",15
"205","2022","NC",18
"206","2022","NE",19
"207","2022","NH",4
"208","2022","NV",36
"209","2022","PA",15
"210","2022","SC",8
"211","2022","SD",14
"212","2022","UT",1
"213","2022","VA",2
"214","2022","VT",9
"215","2022","WA",2
"216","2022","WY",9
"217","2023","AK",10
"218","2023","AL",1
"219","2023","AR",3
"220","2023","AZ",106
"221","2023","BOP",2
"222","2023","CA",30
"223","2023","DC",5
"224","2023","DE",26
"225","2023","FL",214
"226","2023","HI",11
"227","2023","IA",24
"228","2023","ICE",7
"229","2023","MS",2
"230","2023","MT",17
"231","2023","NE",25
"232","2023","NH",2
"233","2023","NV",40
"234","2023","PA",15
"235","2023","SC",10
"236","2023","SD",7
"237","2023","TN",1
"238","2023","TX",1
"239","2023","UT",2
"240","2023","VA",1
"241","2023","VT",9
"242","2023","WY",11
"243","2024","AK",5
"244","2024","AR",1
"245","2024","AZ",25
"246","2024","CA",12
"247","2024","DC",2
"248","2024","DE",1
"249","2024","HI",3
"250","2024","IA",4
"251","2024","MT",2
"252","2024","NV",5
"253","2024","PA",2
"254","2024","SD",3
