system,variable,present,count
AK,c_ind_full_name,1,32
AK,c_ind_dob_year,1,31
AK,c_ind_gender,1,30
AK,c_ind_race,1,33
AK,c_ind_ethnicity,0,13
AK,c_ind_dod_ymd,1,40
AK,ind_tod,1,14
AK,ind_deathloc,1,35
AK,c_ind_fachoused,1,23
AK,c_ind_cod_type,1,40
AL,c_ind_full_name,1,32
AL,c_ind_dob_year,1,31
AL,c_ind_gender,1,30
AL,c_ind_race,1,33
AL,c_ind_ethnicity,0,13
AL,c_ind_dod_ymd,1,40
AL,ind_tod,1,14
AL,ind_deathloc,1,35
AL,c_ind_fachoused,1,23
AL,c_ind_cod_type,1,40
AR,c_ind_full_name,1,32
AR,c_ind_dob_year,1,31
AR,c_ind_gender,1,30
AR,c_ind_race,1,33
AR,c_ind_ethnicity,1,13
AR,c_ind_dod_ymd,1,40
AR,ind_tod,1,14
AR,ind_deathloc,1,35
AR,c_ind_fachoused,1,23
AR,c_ind_cod_type,1,40
AZ,c_ind_full_name,1,32
AZ,c_ind_dob_year,1,31
AZ,c_ind_gender,0,30
AZ,c_ind_race,0,33
AZ,c_ind_ethnicity,0,13
AZ,c_ind_dod_ymd,1,40
AZ,ind_tod,0,14
AZ,ind_deathloc,1,35
AZ,c_ind_fachoused,1,23
AZ,c_ind_cod_type,1,40
BOP,c_ind_full_name,1,32
BOP,c_ind_dob_year,1,31
BOP,c_ind_gender,1,30
BOP,c_ind_race,1,33
BOP,c_ind_ethnicity,1,13
BOP,c_ind_dod_ymd,1,40
BOP,ind_tod,0,14
BOP,ind_deathloc,1,35
BOP,c_ind_fachoused,0,23
BOP,c_ind_cod_type,1,40
CA,c_ind_full_name,1,32
CA,c_ind_dob_year,1,31
CA,c_ind_gender,1,30
CA,c_ind_race,1,33
CA,c_ind_ethnicity,0,13
CA,c_ind_dod_ymd,1,40
CA,ind_tod,1,14
CA,ind_deathloc,1,35
CA,c_ind_fachoused,1,23
CA,c_ind_cod_type,1,40
CO,c_ind_full_name,0,32
CO,c_ind_dob_year,1,31
CO,c_ind_gender,1,30
CO,c_ind_race,1,33
CO,c_ind_ethnicity,1,13
CO,c_ind_dod_ymd,1,40
CO,ind_tod,0,14
CO,ind_deathloc,1,35
CO,c_ind_fachoused,0,23
CO,c_ind_cod_type,1,40
CT,c_ind_full_name,1,32
CT,c_ind_dob_year,1,31
CT,c_ind_gender,1,30
CT,c_ind_race,1,33
CT,c_ind_ethnicity,1,13
CT,c_ind_dod_ymd,1,40
CT,ind_tod,1,14
CT,ind_deathloc,1,35
CT,c_ind_fachoused,0,23
CT,c_ind_cod_type,1,40
DC,c_ind_full_name,1,32
DC,c_ind_dob_year,1,31
DC,c_ind_gender,1,30
DC,c_ind_race,1,33
DC,c_ind_ethnicity,0,13
DC,c_ind_dod_ymd,1,40
DC,ind_tod,1,14
DC,ind_deathloc,1,35
DC,c_ind_fachoused,0,23
DC,c_ind_cod_type,1,40
DE,c_ind_full_name,1,32
DE,c_ind_dob_year,1,31
DE,c_ind_gender,0,30
DE,c_ind_race,0,33
DE,c_ind_ethnicity,0,13
DE,c_ind_dod_ymd,1,40
DE,ind_tod,1,14
DE,ind_deathloc,1,35
DE,c_ind_fachoused,1,23
DE,c_ind_cod_type,1,40
FL,c_ind_full_name,1,32
FL,c_ind_dob_year,0,31
FL,c_ind_gender,1,30
FL,c_ind_race,1,33
FL,c_ind_ethnicity,0,13
FL,c_ind_dod_ymd,1,40
FL,ind_tod,0,14
FL,ind_deathloc,0,35
FL,c_ind_fachoused,0,23
FL,c_ind_cod_type,1,40
GA,c_ind_full_name,1,32
GA,c_ind_dob_year,0,31
GA,c_ind_gender,1,30
GA,c_ind_race,1,33
GA,c_ind_ethnicity,1,13
GA,c_ind_dod_ymd,1,40
GA,ind_tod,1,14
GA,ind_deathloc,1,35
GA,c_ind_fachoused,1,23
GA,c_ind_cod_type,1,40
HI,c_ind_full_name,1,32
HI,c_ind_dob_year,1,31
HI,c_ind_gender,1,30
HI,c_ind_race,1,33
HI,c_ind_ethnicity,1,13
HI,c_ind_dod_ymd,1,40
HI,ind_tod,1,14
HI,ind_deathloc,1,35
HI,c_ind_fachoused,0,23
HI,c_ind_cod_type,1,40
IA,c_ind_full_name,1,32
IA,c_ind_dob_year,1,31
IA,c_ind_gender,0,30
IA,c_ind_race,0,33
IA,c_ind_ethnicity,0,13
IA,c_ind_dod_ymd,1,40
IA,ind_tod,0,14
IA,ind_deathloc,1,35
IA,c_ind_fachoused,0,23
IA,c_ind_cod_type,1,40
ICE,c_ind_full_name,1,32
ICE,c_ind_dob_year,1,31
ICE,c_ind_gender,1,30
ICE,c_ind_race,0,33
ICE,c_ind_ethnicity,0,13
ICE,c_ind_dod_ymd,1,40
ICE,ind_tod,0,14
ICE,ind_deathloc,0,35
ICE,c_ind_fachoused,0,23
ICE,c_ind_cod_type,1,40
ID,c_ind_full_name,1,32
ID,c_ind_dob_year,1,31
ID,c_ind_gender,1,30
ID,c_ind_race,1,33
ID,c_ind_ethnicity,1,13
ID,c_ind_dod_ymd,1,40
ID,ind_tod,1,14
ID,ind_deathloc,1,35
ID,c_ind_fachoused,1,23
ID,c_ind_cod_type,1,40
KS,c_ind_full_name,0,32
KS,c_ind_dob_year,1,31
KS,c_ind_gender,1,30
KS,c_ind_race,1,33
KS,c_ind_ethnicity,1,13
KS,c_ind_dod_ymd,1,40
KS,ind_tod,0,14
KS,ind_deathloc,0,35
KS,c_ind_fachoused,1,23
KS,c_ind_cod_type,1,40
KY,c_ind_full_name,0,32
KY,c_ind_dob_year,1,31
KY,c_ind_gender,1,30
KY,c_ind_race,1,33
KY,c_ind_ethnicity,0,13
KY,c_ind_dod_ymd,1,40
KY,ind_tod,0,14
KY,ind_deathloc,1,35
KY,c_ind_fachoused,1,23
KY,c_ind_cod_type,1,40
LA,c_ind_full_name,1,32
LA,c_ind_dob_year,1,31
LA,c_ind_gender,1,30
LA,c_ind_race,1,33
LA,c_ind_ethnicity,1,13
LA,c_ind_dod_ymd,1,40
LA,ind_tod,0,14
LA,ind_deathloc,1,35
LA,c_ind_fachoused,1,23
LA,c_ind_cod_type,1,40
MN,c_ind_full_name,0,32
MN,c_ind_dob_year,1,31
MN,c_ind_gender,1,30
MN,c_ind_race,1,33
MN,c_ind_ethnicity,0,13
MN,c_ind_dod_ymd,1,40
MN,ind_tod,0,14
MN,ind_deathloc,1,35
MN,c_ind_fachoused,1,23
MN,c_ind_cod_type,1,40
MO,c_ind_full_name,1,32
MO,c_ind_dob_year,0,31
MO,c_ind_gender,1,30
MO,c_ind_race,1,33
MO,c_ind_ethnicity,0,13
MO,c_ind_dod_ymd,1,40
MO,ind_tod,1,14
MO,ind_deathloc,1,35
MO,c_ind_fachoused,0,23
MO,c_ind_cod_type,1,40
MS,c_ind_full_name,1,32
MS,c_ind_dob_year,0,31
MS,c_ind_gender,1,30
MS,c_ind_race,1,33
MS,c_ind_ethnicity,1,13
MS,c_ind_dod_ymd,1,40
MS,ind_tod,1,14
MS,ind_deathloc,1,35
MS,c_ind_fachoused,1,23
MS,c_ind_cod_type,1,40
MT,c_ind_full_name,1,32
MT,c_ind_dob_year,0,31
MT,c_ind_gender,0,30
MT,c_ind_race,1,33
MT,c_ind_ethnicity,1,13
MT,c_ind_dod_ymd,1,40
MT,ind_tod,0,14
MT,ind_deathloc,1,35
MT,c_ind_fachoused,0,23
MT,c_ind_cod_type,1,40
NC,c_ind_full_name,1,32
NC,c_ind_dob_year,1,31
NC,c_ind_gender,1,30
NC,c_ind_race,1,33
NC,c_ind_ethnicity,0,13
NC,c_ind_dod_ymd,1,40
NC,ind_tod,0,14
NC,ind_deathloc,1,35
NC,c_ind_fachoused,1,23
NC,c_ind_cod_type,1,40
NE,c_ind_full_name,1,32
NE,c_ind_dob_year,1,31
NE,c_ind_gender,0,30
NE,c_ind_race,0,33
NE,c_ind_ethnicity,0,13
NE,c_ind_dod_ymd,1,40
NE,ind_tod,0,14
NE,ind_deathloc,1,35
NE,c_ind_fachoused,0,23
NE,c_ind_cod_type,1,40
NH,c_ind_full_name,1,32
NH,c_ind_dob_year,0,31
NH,c_ind_gender,1,30
NH,c_ind_race,1,33
NH,c_ind_ethnicity,1,13
NH,c_ind_dod_ymd,1,40
NH,ind_tod,0,14
NH,ind_deathloc,1,35
NH,c_ind_fachoused,1,23
NH,c_ind_cod_type,1,40
NM,c_ind_full_name,0,32
NM,c_ind_dob_year,0,31
NM,c_ind_gender,1,30
NM,c_ind_race,1,33
NM,c_ind_ethnicity,0,13
NM,c_ind_dod_ymd,1,40
NM,ind_tod,0,14
NM,ind_deathloc,0,35
NM,c_ind_fachoused,0,23
NM,c_ind_cod_type,1,40
NV,c_ind_full_name,1,32
NV,c_ind_dob_year,1,31
NV,c_ind_gender,1,30
NV,c_ind_race,1,33
NV,c_ind_ethnicity,0,13
NV,c_ind_dod_ymd,1,40
NV,ind_tod,0,14
NV,ind_deathloc,1,35
NV,c_ind_fachoused,0,23
NV,c_ind_cod_type,1,40
OK,c_ind_full_name,1,32
OK,c_ind_dob_year,1,31
OK,c_ind_gender,1,30
OK,c_ind_race,1,33
OK,c_ind_ethnicity,0,13
OK,c_ind_dod_ymd,1,40
OK,ind_tod,0,14
OK,ind_deathloc,1,35
OK,c_ind_fachoused,1,23
OK,c_ind_cod_type,1,40
OR,c_ind_full_name,0,32
OR,c_ind_dob_year,0,31
OR,c_ind_gender,1,30
OR,c_ind_race,1,33
OR,c_ind_ethnicity,0,13
OR,c_ind_dod_ymd,1,40
OR,ind_tod,0,14
OR,ind_deathloc,1,35
OR,c_ind_fachoused,1,23
OR,c_ind_cod_type,1,40
PA,c_ind_full_name,1,32
PA,c_ind_dob_year,1,31
PA,c_ind_gender,0,30
PA,c_ind_race,0,33
PA,c_ind_ethnicity,0,13
PA,c_ind_dod_ymd,1,40
PA,ind_tod,0,14
PA,ind_deathloc,0,35
PA,c_ind_fachoused,0,23
PA,c_ind_cod_type,1,40
SC,c_ind_full_name,1,32
SC,c_ind_dob_year,1,31
SC,c_ind_gender,1,30
SC,c_ind_race,1,33
SC,c_ind_ethnicity,0,13
SC,c_ind_dod_ymd,1,40
SC,ind_tod,0,14
SC,ind_deathloc,1,35
SC,c_ind_fachoused,1,23
SC,c_ind_cod_type,1,40
SD,c_ind_full_name,1,32
SD,c_ind_dob_year,1,31
SD,c_ind_gender,0,30
SD,c_ind_race,0,33
SD,c_ind_ethnicity,0,13
SD,c_ind_dod_ymd,1,40
SD,ind_tod,0,14
SD,ind_deathloc,1,35
SD,c_ind_fachoused,0,23
SD,c_ind_cod_type,1,40
TN,c_ind_full_name,1,32
TN,c_ind_dob_year,1,31
TN,c_ind_gender,1,30
TN,c_ind_race,1,33
TN,c_ind_ethnicity,0,13
TN,c_ind_dod_ymd,1,40
TN,ind_tod,1,14
TN,ind_deathloc,1,35
TN,c_ind_fachoused,1,23
TN,c_ind_cod_type,1,40
TX,c_ind_full_name,1,32
TX,c_ind_dob_year,1,31
TX,c_ind_gender,0,30
TX,c_ind_race,1,33
TX,c_ind_ethnicity,1,13
TX,c_ind_dod_ymd,1,40
