c_ind_full_name,c_ind_dob_year,c_ind_gender,c_ind_race,c_ind_ethnicity,c_ind_dod_ymd,ind_tod,ind_deathloc,c_ind_fachoused,c_ind_cod_avail
Present,Present,Present,Present,Missing,Present,Present,Missing,Missing,Missing
Present,Missing,Missing,Present,Missing,Present,Missing,Present,Missing,Missing
Missing,Missing,Present,Present,Present,Present,Missing,Present,Present,Present
Present,Present,Missing,Missing,Missing,Present,Missing,Missing,Missing,Missing
Present,Present,Present,Present,Present,Present,Missing,Present,Missing,Present
Present,Present,Present,Present,Missing,Present,Present,Present,Present,Missing
Missing,Missing,Present,Present,Present,Present,Missing,Present,Missing,Present
Present,Present,Present,Present,Present,Present,Present,Present,Missing,Missing
Present,Present,Present,Present,Missing,Present,Missing,Present,Missing,Missing
Present,Present,Missing,Missing,Missing,Present,Present,Present,Present,Present
Present,Missing,Present,Present,Missing,Present,Missing,Missing,Missing,Present
Missing,Missing,Missing,Present,Present,Present,Present,Present,Present,Present
Missing,Missing,Present,Present,Present,Present,Missing,Missing,Missing,Missing
Present,Present,Missing,Missing,Missing,Present,Missing,Present,Missing,Present
Present,Present,Present,Missing,Missing,Present,Missing,Missing,Missing,Missing
Missing,Missing,Missing,Present,Present,Present,Missing,Present,Missing,Missing
Missing,Missing,Missing,Present,Present,Present,Missing,Missing,Present,Missing
Missing,Present,Present,Present,Missing,Present,Missing,Present,Present,Present
Present,Present,Present,Present,Present,Present,Missing,Present,Present,Present
Missing,Present,Present,Present,Missing,Present,Missing,Present,Present,Present
Present,Missing,Present,Present,Missing,Present,Present,Present,Missing,Present
Missing,Missing,Missing,Present,Present,Present,Missing,Missing,Present,Present
Missing,Missing,Missing,Present,Present,Present,Missing,Present,Missing,Missing
Missing,Present,Present,Present,Missing,Present,Missing,Present,Present,Present
Present,Missing,Missing,Missing,Missing,Present,Missing,Present,Missing,Missing
Missing,Missing,Missing,Missing,Missing,Missing,Missing,Present,Present,Missing
Missing,Missing,Present,Present,Missing,Present,Missing,Missing,Missing,Missing
Present,Present,Present,Present,Missing,Present,Missing,Present,Missing,Missing
Missing,Missing,Missing,Present,Missing,Present,Missing,Missing,Missing,Missing
Missing,Missing,Present,Present,Missing,Present,Missing,Present,Missing,Present
Missing,Present,Missing,Missing,Missing,Present,Missing,Missing,Missing,Present
Present,Present,Present,Present,Missing,Present,Missing,Present,Present,Present
Present,Present,Missing,Missing,Missing,Present,Missing,Present,Missing,Missing
Present,Missing,Missing,Present,Missing,Present,Present,Present,Present,Missing
Present,Present,Missing,Present,Present,Present,Missing,Present,Missing,Present
Missing,Missing,Present,Present,Missing,Present,Missing,Present,Missing,Missing
Missing,Missing,Missing,Missing,Missing,Present,Missing,Missing,Present,Missing
Present,Present,Missing,Present,Missing,Present,Missing,Present,Present,Missing
Missing,Missing,Missing,Present,Missing,Present,Missing,Present,Present,Present
Present,Present,Missing,Present,Missing,Present,Missing,Present,Missing,Missing
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
