facility,address,city,system_abbrev,zip_code,latitude,longitude,full_address,capacity,in_hsf,hsf_facility_name
Bibb Correctional Facility,565 Bibb Ln,Brent,AL,35034,32.92095,-87.16259,"565 Bibb Ln, Brent, AL 35034",,Yes,BIBB CORRECTIONAL FACILITY
Bullock Correctional Facility,104 Bullock Dr,Union Springs,AL,36089,32.14724,-85.67376,"104 Bullock Dr, Union Springs, AL 36089",,Yes,BULLOCK CORRECTIONAL FACILITY
William E. Donaldson Correctional Facility,100 Warrior Ln,Bessemer,AL,35023,33.51416,-87.18402,"100 Warrior Ln, Bessemer, AL 35023",,Yes,DONALDSON CORRECTIONAL FACILITY
Easterling Correctional Facility,200 Wallace Dr,Cilio,AL,36017,31.69109,-85.58465,"200 Wallace Dr, Cilio, AL 36017",,Yes,EASTERLING CORRECTIONAL FACILITY
Elmore Correctional Facility,3520 Maron Spillway Rd,Elmore,AL,36025,32.63460,-86.31035,"3520 Maron Spillway Rd, Elmore, AL 36025",,Yes,ELMORE CORRECTIONAL FACILITY
G. K. Fountain Correctional Facility,9677 AL-21,Atmore,AL,36503,31.15708,-87.46418,"9677 AL-21, Atmore, AL 36503",,Yes,FOUNTAIN CORRECTIONAL FACILITY
Hamilton Aged and Infirmed,223 Sasser Dr,Hamilton,AL,35570,34.12467,-87.99182,"223 Sasser Dr, Hamilton, AL 35570",,Yes,HAMILTON AGED / INFIRMED
William C. Holman Correctional Facility,1240 Ross Rd,Atmore,AL,36503,31.13433,-87.44974,"1240 Ross Rd, Atmore, AL 36503",,Yes,HOLMAN CORRECTIONAL FACILITY
Kilby Correctional Facility,12201 Wares Ferry Rd,Mt. Meigs,AL,36057,32.42905,-85.80506,"12201 Wares Ferry Rd, Mt. Meigs, AL 36057",,Yes,KILBY CORRECTIONAL FACILITY
Limestone Correctional Facility,28779 Nick Davis Rd,Harvest,AL,35749,34.81125,-86.80587,"28779 Nick Davis Rd, Harvest, AL 35749",,Yes,LIMESTONE CORRECTIONAL FACILITY
St. Clair Correctional Facility,1000 St Clair Rd,Springville,AL,35146,33.74699,-86.38509,"1000 St Clair Rd, Springville, AL 35146",,Yes,SAINT CLAIR CORRECTIONAL FACILITY
Staton Correctional Facility,2690 Marion Spillway Rd,Elmore,AL,36025,32.57741,-86.33314,"2690 Marion Spillway Rd, Elmore, AL 36025",,Yes,STATON CORRECTIONAL FACILITY
Julia Tutwiler Prison for Women,8966 US-231,Wetumpka,AL,36092,32.56424,-86.19275,"8966 US-231, Wetumpka, AL 36092",,Yes,JULIA TUTWILER PRISON FOR WOMEN
Perry County Correctional Facility,4805 US-80,Uniontown,AL,36786,32.47209,-87.44280514,"4805 US-80, Uniontown, AL 36786",,Yes,PERRY COUNTY CORRECTIONAL CENTER
Ventress Correctional Facility ,379 AL-239,Clayton,AL,36016,31.88917,-85.49225,"379 AL-239, Clayton, AL 36016",,Yes,VENTRESS CORRECTIONAL FACILITY
Anchorage Correctional Complex,1400 E. 4th Ave,Anchorage,AK,99501,,,"1400 E. 4th Ave, Anchorage, AK 99501",,,ANCHORAGE CORRECTIONAL COMPLEX
Anvil Mountain Correctional Center,1810 Center Creek,Nome,AK,99762,,,"1810 Center Creek, Nome, AK 99762",,,ANVIL MOUNTAIN CORRECTIONAL CENTER
Fairbanks Correctional Center,1931 Egan Ave,Fairbanks,AK,99701,,,"1931 Egan Ave, Fairbanks, AK 99701",,,FAIRBANKS CORRECTIONAL CENTER
Goose Creek Correctional Center,22301 W. Alsop Rd,Wasilla,AK,99654,,,"22301 W. Alsop Rd, Wasilla, AK 99654",,,GOOSE CREEK CORRECTIONAL CENTER
Hiland Mountain Correctional Center,9101 Hesterberg Rd,Eagle River,AK,99577,,,"9101 Hesterberg Rd, Eagle River, AK 99577",,,HILAND MOUNTAIN CORRECTIONAL CENTER
Kechikan Correctional Center,1201 Schoenbar Rd,Ketchikan,AK,99901,,,"1201 Schoenbar Rd, Ketchikan, AK 99901",,,KECHIKAN CORRECTIONAL CENTER
Lemon Creek Correctional Center,2000 Lemon Creek Rd,Juneau,AK,99801,,,"2000 Lemon Creek Rd, Juneau, AK 99801",,,LEMON CREEK CORRECTIONAL CENTER
Palmer Correctional Center,Glen Hwy - Mile 58,Palmer,AK,99645,,,"Glen Hwy - Mile 58, Palmer, AK 99645",,,PALMER CORRECTIONAL CENTER
Point MacKenzie Correctional Farm,13690 Guernsey Rd,Wasilla,AK,99654,,,"13690 Guernsey Rd, Wasilla, AK 99654",,,POINT MACKENZIE CORRECTIONAL FARM
Spring Creek Correctional Center,3600 Bette Cato Ave,Seward,AK,99664,,,"3600 Bette Cato Ave, Seward, AK 99664",,,SPRING CREEK CORRECTIONAL CENTER
Wildwood Correctional Complex,10 Chugach Ave,Kenai,AK,99611,,,"10 Chugach Ave, Kenai, AK 99611",,,WILDWOOD CORRECTIONAL COMPLEX
Yukon Kuskokwim Correctional Center,1000 Chief Eddie Hoffman Hwy,Bethel,AK,99599,,,"1000 Chief Eddie Hoffman Hwy, Bethel, AK 99599",,,YUKON KUSKOKWIM CORRECTIONAL CENTER
Arizona State Prison Complex - Douglas,6911 N. BDI Blvd,Douglas,AZ,85607,31.44567,-109.59949,"6911 N. BDI Blvd, Douglas, AZ 85607",,Yes,ASPC-DOUGLAS
Arizona State Prison Complex - Eyman,4374 E. Butte Ave,Florence,AZ,85132,33.16354,-111.29213,"4374 E. Butte Ave, Florence, AZ 85132",,Yes,ASPC-EYMAN
Arizona State Prison Complex - Lewis,26700 S. Hwy 85,Buckeye,AZ,85326,33.20196,-112.65629,"26700 S. Hwy 85, Buckeye, AZ 85326",,Yes,ASPC-LEWIS
Arizona State Prison Complex - Perryville,2105 N. Citrus Rd,Goodyear,AZ,85395,33.47123,-112.44177,"2105 N. Citrus Rd, Goodyear, AZ 85395",,Yes,ASPC-PERRYVILLE
Arizona State Prison Complex - Phoenix ,2500 E. Van Buren St,Phoenix,AZ,85008,33.47801,-112.04224,"2500 E. Van Buren St, Phoenix, AZ 85008",,Yes,ASPC-PHOENIX
Arizona State Prison Complex - Safford,896 S. Cook Rd,Safford,AZ,85546,32.82913,-109.56582,"896 S. Cook Rd, Safford, AZ 85546",,Yes,ASPC-SAFFORD
Arizona State Prison Complex - Tucson,10000 S. Wilmot Rd,Tucson,AZ,85734,32.17717,-110.69454,"10000 S. Wilmot Rd, Tucson, AZ 85734",,Yes,ASPC-TUCSON
Arizona State Prison Complex - Winslow,2100 S. Hwy 87,Winslow,AZ,86047,34.98489,-110.71840,"2100 S. Hwy 87, Winslow, AZ 86047",,Yes,ASPC-WINSLOW
Arizona State Prison Complex - Yuma,7125 E. Cesar Chavez Blvd,Yuma,AZ,85349,32.68541,-114.25797,"7125 E. Cesar Chavez Blvd, Yuma, AZ 85349",,Yes,ASPC-YUMA
Barbara Ester Unit,8001 W. 7th Ave,Pine Bluff,AR,71603,34.22220,-92.08249,"8001 W. 7th Ave, Pine Bluff, AR 71603",,Yes,BARBARA ESTER UNIT
Benton Unit,6701 US-67,Benton,AR,72015,34.52343,-92.65487,"6701 US-67, Benton, AR 72015",,Yes,BENTON UNIT
Cummins Unit,2540 Hwy 388,Gould,AR,71644,34.05234,-91.58333,"2540 Hwy 388, Gould, AR 71644",,Yes,CUMMINS UNIT
Delta Regional Unit,880 E. Gaines St,Dermott,AR,71638,33.51893,-91.41432,"880 E. Gaines St, Dermott, AR 71638",,Yes,DELTA REGIONAL UNIT
East Arkansas Regional Unit,326 Lee Rd ,Brickeys,AR,72320,34.88363,-90.54074,"326 Lee Rd , Brickeys, AR 72320",,Yes,EAST ARKANSAS REGIONAL UNIT
Grimes Unit,300 Corrections Dr,Newport,AR,72112,35.62617,-91.18741,"300 Corrections Dr, Newport, AR 72112",,Yes,GRIMES UNIT
J. Aaron Hawkins Sr. Center,22522 Asher Rd,Wrightville,AR,72183,,,"22522 Asher Rd, Wrightville, AR 72183",,Yes,J. AARON HAWKINS SR. CENTER
Maximum Security Unit,2501 State Farm Rd,England,AR,72046,34.45477,-91.91475,"2501 State Farm Rd, England, AR 72046",,Yes,MAXIMUM SECURITY UNIT
McPherson Unit,302 Corrections Dr,Newport,AR,72112,35.62575,-91.19331,"302 Corrections Dr, Newport, AR 72112",,Yes,MCPHERSON UNIT
Mississippi County Work Release Center,727 N. Co Rd 599,Luxora,AR,72358,35.77857,-89.96369,"727 N. Co Rd 599, Luxora, AR 72358",,Yes,MISSISSIPPI COUNTY WORK RELEASE CENTER
North Central Unit,10 Prison Cir,Calico Rock,AR,72519,36.16340,-92.15047,"10 Prison Cir, Calico Rock, AR 72519",,Yes,NORTH CENTRAL UNIT
Northwest Arkansas Work Release Center,600 W. Sunset Ave,Springdale,AR,72764,36.17487,-94.13499,"600 W. Sunset Ave, Springdale, AR 72764",,Yes,NORTHWEST ARKANSAS WORK RELEASE CENTER
Ouachita River Correctional Unit,100 Walco Ln,Malvern,AR,72104,34.39476,-92.71106,"100 Walco Ln, Malvern, AR 72104",,Yes,OUACHITA RIVER UNIT
Pine Bluff Unit,890 Free Line Dr,Pine Bluff,AR,71603,34.22110,-92.08115,"890 Free Line Dr, Pine Bluff, AR 71603",,Yes,PINE BLUFF UNIT
Randall L. Williams Correctional Facility,7206 W. 7th Ave,Pine Bluff,AR,71603,34.22205,-92.07739,"7206 W. 7th Ave, Pine Bluff, AR 71603",,Yes,RANDALL L. WILLIAMS CORRECTIONAL FACILITY
Texarkana Regional Correctional Center,305 E. 5th St,Texarkana,AR,71854,33.42613,-94.04056,"305 E. 5th St, Texarkana, AR 71854",,Yes,TEXARKANA REGIONAL CORRECTION CENTER
