"","c_system_abbr","c_ind_cod_type","n","percent"
"1","AK","COVID-19",3,8.82352941176471
"2","AK","Drug / Alcohol",1,2.94117647058824
"3","AK","Natural",5,14.7058823529412
"4","AK","Suicide",1,2.94117647058824
"5","AK","Unknown",24,70.5882352941177
"6","AL","Execution",1,11.1111111111111
"7","AL","Homicide",2,22.2222222222222
"8","AL","Homicide by LEO",1,11.1111111111111
"9","AL","Unintentional non-Drug Injury",1,11.1111111111111
"10","AL","Unknown",4,44.4444444444444
"11","AR","COVID-19",8,22.8571428571429
"12","AR","Homicide",2,5.71428571428571
"13","AR","Suicide",23,65.7142857142857
"14","AR","Unknown",2,5.71428571428571
"15","AZ","Drug / Alcohol",1,0.0796178343949045
"16","AZ","Execution",3,0.238853503184713
"17","AZ","Homicide",20,1.59235668789809
"18","AZ","Homicide by LEO",1,0.0796178343949045
"19","AZ","Natural",303,24.124203821656
"20","AZ","Suicide",63,5.01592356687898
"21","AZ","Unknown",865,68.8694267515924
"22","BOP","COVID-19",319,95.5089820359281
"23","BOP","Execution",13,3.89221556886228
"24","BOP","Unknown",2,0.598802395209581
"25","CA","COVID-19",11,4.5643153526971
"26","CA","Homicide",145,60.1659751037344
"27","CA","Homicide by LEO",8,3.3195020746888
"28","CA","Natural",22,9.12863070539419
"29","CA","Suicide",4,1.6597510373444
"30","CA","Unintentional non-Drug Injury",2,0.829875518672199
"31","CA","Unknown",49,20.3319502074689
"32","CO","COVID-19",3,42.8571428571429
"33","CO","Homicide",3,42.8571428571429
"34","CO","Unknown",1,14.2857142857143
"35","CT","Homicide",2,25
"36","CT","Suicide",2,25
"37","CT","Unknown",4,50
"38","DC","Homicide",1,7.69230769230769
"39","DC","Natural",1,7.69230769230769
"40","DC","Pending",1,7.69230769230769
"41","DC","Suicide",4,30.7692307692308
"42","DC","Unknown",6,46.1538461538462
"43","DE","COVID-19",14,11.6666666666667
"44","DE","Drug / Alcohol",2,1.66666666666667
"45","DE","Homicide by LEO",3,2.5
"46","DE","Natural",21,17.5
"47","DE","Pending",3,2.5
"48","DE","Suicide",6,5
"49","DE","Unknown",71,59.1666666666667
"50","FL","Homicide",84,2.92173913043478
"51","FL","Natural",2175,75.6521739130435
"52","FL","Pending",239,8.31304347826087
"53","FL","Suicide",104,3.61739130434783
"54","FL","Unintentional non-Drug Injury",269,9.35652173913043
"55","FL","Unknown",4,0.139130434782609
"56","GA","COVID-19",17,15.4545454545455
"57","GA","Execution",16,14.5454545454545
"58","GA","Homicide",37,33.6363636363636
"59","GA","Suicide",34,30.9090909090909
"60","GA","Unknown",6,5.45454545454545
"61","HI","COVID-19",9,33.3333333333333
"62","HI","Suicide",2,7.40740740740741
"63","HI","Unknown",16,59.2592592592593
"64","IA","COVID-19",27,17.1974522292994
"65","IA","Natural",97,61.7834394904459
"66","IA","Pending",2,1.27388535031847
"67","IA","Suicide",13,8.28025477707006
"68","IA","Unknown",18,11.4649681528662
"69","ICE","COVID-19",7,14
"70","ICE","Natural",16,32
"71","ICE","Suicide",9,18
"72","ICE","Unknown",18,36
"73","ID","COVID-19",6,12.5
"74","ID","Execution",1,2.08333333333333
"75","ID","Homicide",1,2.08333333333333
"76","ID","Natural",4,8.33333333333333
"77","ID","Suicide",27,56.25
"78","ID","Unknown",9,18.75
"79","KS","COVID-19",16,80
"80","KS","Unknown",4,20
"81","KY","COVID-19",1,100
"82","LA","Homicide",2,50
"83","LA","Suicide",2,50
"84","MN","COVID-19",8,88.8888888888889
"85","MN","Homicide",1,11.1111111111111
"86","MO","Execution",3,100
"87","MS","Execution",2,50
"88","MS","Homicide",2,50
"89","MT","COVID-19",6,10.1694915254237
"90","MT","Unknown",53,89.8305084745763
"91","NC","COVID-19",56,40.5797101449275
"92","NC","Drug / Alcohol",2,1.44927536231884
"93","NC","Homicide",11,7.97101449275362
"94","NC","Natural",10,7.2463768115942
"95","NC","Suicide",54,39.1304347826087
"96","NC","Unintentional non-Drug Injury",1,0.72463768115942
"97","NC","Unknown",4,2.89855072463768
"98","NE","COVID-19",14,10.2941176470588
"99","NE","Execution",1,0.735294117647059
"100","NE","Homicide",3,2.20588235294118
"101","NE","Natural",3,2.20588235294118
"102","NE","Suicide",4,2.94117647058824
"103","NE","Unknown",111,81.6176470588235
"104","NH","Drug / Alcohol",2,20
"105","NH","Homicide",1,10
"106","NH","Natural",2,20
"107","NH","Pending",1,10
"108","NH","Suicide",1,10
"109","NH","Unknown",3,30
"110","NM","COVID-19",1,50
"111","NM","Unknown",1,50
"112","NV","Unknown",783,100
"113","OK","COVID-19",2,22.2222222222222
"114","OK","Homicide",5,55.5555555555556
"115","OK","Suicide",1,11.1111111111111
"116","OK","Unknown",1,11.1111111111111
"117","OR","COVID-19",31,100
"118","PA","COVID-19",15,11.71875
"119","PA","Homicide",2,1.5625
