"","c_system_abbr","dod_year","cum_sum_dplyr","n","total_fields","perc"
"1","AK","2016",8,1,10,80
"2","AK","2021",33,5,50,66
"3","AK","2022",84,13,130,64.6153846153846
"4","AK","2023",64,10,100,64
"5","AK","2024",29,5,50,58
"6","AL","2018",7,1,10,70
"7","AL","2019",42,6,60,70
"8","AL","2022",6,1,10,60
"9","AL","2023",6,1,10,60
"10","AR","2020",52,9,90,57.7777777777778
"11","AR","2021",95,11,110,86.3636363636364
"12","AR","2022",98,11,110,89.0909090909091
"13","AR","2023",24,3,30,80
"14","AR","2024",6,1,10,60
"15","AZ","2009",5,1,10,50
"16","AZ","2014",403,83,830,48.5542168674699
"17","AZ","2015",514,109,1090,47.1559633027523
"18","AZ","2016",607,116,1160,52.3275862068965
"19","AZ","2017",658,133,1330,49.4736842105263
"20","AZ","2018",644,132,1320,48.7878787878788
"21","AZ","2019",505,114,1140,44.2982456140351
"22","AZ","2020",721,158,1580,45.6329113924051
"23","AZ","2021",605,134,1340,45.1492537313433
"24","AZ","2022",672,140,1400,48
"25","AZ","2023",606,106,1060,57.1698113207547
"26","AZ","2024",143,25,250,57.2
"27","BOP","2019",7,1,10,70
"28","BOP","2020",1101,182,1820,60.4945054945055
"29","BOP","2021",694,115,1150,60.3478260869565
"30","BOP","2022",205,34,340,60.2941176470588
"31","BOP","2023",12,2,20,60
"32","CA","2016",217,29,290,74.8275862068966
"33","CA","2017",135,18,180,75
"34","CA","2018",231,31,310,74.5161290322581
"35","CA","2019",189,26,260,72.6923076923077
"36","CA","2020",320,44,440,72.7272727272727
"37","CA","2021",158,21,210,75.2380952380952
"38","CA","2022",229,30,300,76.3333333333333
"39","CA","2023",234,30,300,78
"40","CA","2024",86,12,120,71.6666666666667
"41","CO","2020",20,4,40,50
"42","CO","2021",12,2,20,60
"43","CO","2022",5,1,10,50
"44","CT","2015",38,6,60,63.3333333333333
"45","CT","2016",14,2,20,70
"46","DC","2006",6,1,10,60
"47","DC","2013",21,3,30,70
"48","DC","2015",8,1,10,80
"49","DC","2022",6,1,10,60
"50","DC","2023",30,5,50,60
"51","DC","2024",12,2,20,60
"52","DE","2017",51,8,80,63.75
"53","DE","2018",89,16,160,55.625
"54","DE","2019",80,13,130,61.5384615384615
"55","DE","2020",120,19,190,63.1578947368421
"56","DE","2021",119,18,180,66.1111111111111
"57","DE","2022",122,19,190,64.2105263157895
"58","DE","2023",185,26,260,71.1538461538462
"59","DE","2024",7,1,10,70
"60","FL","1950",6,1,10,60
"61","FL","2016",952,182,1820,52.3076923076923
"62","FL","2017",2254,427,4270,52.7868852459016
"63","FL","2018",2313,438,4380,52.8082191780822
"64","FL","2019",2070,394,3940,52.5380710659898
"65","FL","2020",3031,582,5820,52.0790378006873
"66","FL","2021",2270,433,4330,52.4249422632794
"67","FL","2022",1169,198,1980,59.040404040404
"68","FL","2023",1297,214,2140,60.607476635514
"69","GA","2015",12,2,20,60
"70","GA","2016",47,8,80,58.75
"71","GA","2017",93,14,140,66.4285714285714
"72","GA","2018",176,26,260,67.6923076923077
"73","GA","2019",162,24,240,67.5
"74","GA","2020",216,35,350,61.7142857142857
"75","GA","2022",7,1,10,70
"76","HI","2015",6,1,10,60
"77","HI","2016",15,2,20,75
"78","HI","2017",5,1,10,50
"79","HI","2021",36,9,90,40
"80","HI","2023",68,11,110,61.8181818181818
"81","HI","2024",18,3,30,60
"82","IA","2017",55,10,100,55
"83","IA","2018",93,19,190,48.9473684210526
"84","IA","2019",74,14,140,52.8571428571429
"85","IA","2020",190,37,370,51.3513513513513
"86","IA","2021",104,21,210,49.5238095238095
"87","IA","2022",146,27,270,54.0740740740741
"88","IA","2023",144,24,240,60
"89","IA","2024",24,4,40,60
"90","ICE","2018",38,8,80,47.5
"91","ICE","2019",42,9,90,46.6666666666667
"92","ICE","2020",82,17,170,48.2352941176471
"93","ICE","2021",32,7,70,45.7142857142857
"94","ICE","2022",9,2,20,45
"95","ICE","2023",35,7,70,50
"96","ID","2010",8,1,10,80
"97","ID","2011",15,2,20,75
"98","ID","2012",21,3,30,70
"99","ID","2013",6,1,10,60
"100","ID","2014",44,6,60,73.3333333333333
"101","ID","2015",22,3,30,73.3333333333333
"102","ID","2016",34,5,50,68
"103","ID","2017",51,7,70,72.8571428571428
"104","ID","2018",19,3,30,63.3333333333333
"105","ID","2019",24,3,30,80
"106","ID","2020",62,9,90,68.8888888888889
"107","ID","2021",26,4,40,65
"108","ID","2022",7,1,10,70
"109","KS","2019",18,4,40,45
"110","KS","2020",67,12,120,55.8333333333333
"111","KS","2021",23,4,40,57.5
"112","KY","2020",6,1,10,60
"113","LA","2019",14,2,20,70
"114","LA","2020",16,2,20,80
"115","MN","2020",46,7,70,65.7142857142857
"116","MN","2021",14,2,20,70
"117","MO","2019",6,1,10,60
"118","MO","2020",6,1,10,60
"119","MO","2021",6,1,10,60
"120","MS","2021",8,1,10,80
"121","MS","2022",6,1,10,60
"122","MS","2023",12,2,20,60
"123","MT","2020",31,6,60,51.6666666666667
"124","MT","2021",58,18,180,32.2222222222222
"125","MT","2022",52,15,150,34.6666666666667
"126","MT","2023",59,17,170,34.7058823529412
"127","MT","2024",8,2,20,40
"128","NC","2015",14,2,20,70
"129","NC","2016",89,13,130,68.4615384615385
"130","NC","2017",67,10,100,67
"131","NC","2018",104,13,130,80
"132","NC","2019",55,7,70,78.5714285714286
"133","NC","2020",303,48,480,63.125
"134","NC","2021",180,27,270,66.6666666666667
"135","NC","2022",135,18,180,75
"136","NE","2017",66,16,160,41.25
"137","NE","2018",46,11,110,41.8181818181818
"138","NE","2019",63,15,150,42
"139","NE","2020",108,28,280,38.5714285714286
"140","NE","2021",84,22,220,38.1818181818182
"141","NE","2022",78,19,190,41.0526315789474
"142","NE","2023",124,25,250,49.6
"143","NH","2020",7,1,10,70
"144","NH","2021",6,1,10,60
"145","NH","2022",26,4,40,65
"146","NH","2023",10,2,20,50
"147","NM","2015",6,1,10,60
"148","NM","2020",4,1,10,40
"149","NV","2000",6,1,10,60
"150","NV","2007",262,44,440,59.5454545454545
"151","NV","2008",264,44,440,60
"152","NV","2009",264,44,440,60
"153","NV","2010",246,41,410,60
"154","NV","2011",228,38,380,60
"155","NV","2012",246,41,410,60
"156","NV","2013",216,36,360,60
"157","NV","2014",264,44,440,60
"158","NV","2015",288,48,480,60
"159","NV","2016",252,42,420,60
"160","NV","2017",282,47,470,60
"161","NV","2018",270,45,450,60
"162","NV","2019",240,40,400,60
"163","NV","2020",492,82,820,60
"164","NV","2021",390,65,650,60
"165","NV","2022",216,36,360,60
"166","NV","2023",240,40,400,60
"167","NV","2024",30,5,50,60
"168","OK","2018",13,2,20,65
"169","OK","2019",21,3,30,70
"170","OK","2020",18,3,30,60
"171","OK","2021",5,1,10,50
"172","OR","2020",45,9,90,50
"173","OR","2021",104,21,210,49.5238095238095
"174","PA","2016",33,10,100,33
"175","PA","2017",35,12,120,29.1666666666667
"176","PA","2018",44,14,140,31.4285714285714
"177","PA","2019",70,22,220,31.8181818181818
"178","PA","2020",81,26,260,31.1538461538462
"179","PA","2021",35,12,120,29.1666666666667
"180","PA","2022",48,15,150,32
"181","PA","2023",91,15,150,60.6666666666667
"182","PA","2024",12,2,20,60
"183","SC","2019",27,4,40,67.5
"184","SC","2020",20,3,30,66.6666666666667
"185","SC","2021",74,11,110,67.2727272727273
"186","SC","2022",56,8,80,70
"187","SC","2023",69,10,100,69
